STATE,Population
Andaman and Nicobar,10440
Andhra Pradesh,53127288
Arunachal Pradesh,1577261
Assam,36983799
Bihar,132155921
Chandigarh,1236647
Chhattisgarh,25545198
Dadra and Nagar Haveli,695529
Delhi,18710922
Goa,1588670
Gujarat,69452635
Haryana,28310540
Himachal Pradesh,93724053
Jammu and Kashmir,15263739
Jharkhand,39318739
Karnataka,65987556
Kerala,37405595
Lakshadweep,74879
Madhya Pradesh,90852616
Maharashtra,144115751
Manipur,3221453
Meghalaya,3081397
Mizoram,1298725
Nagaland,2490136
Orissa,46777545
Puducherry,12301091
Punjab,133672083
Rajasthan,98774405
Sikkim,706282
Tamil Nadu,78305327
Telangana,35587
Tripura,4231886
Uttar Pradesh,185975170
Uttaranchal,12493522
West Bengal,103147252
