STATE,rooftop
Andaman and Nicobar,4.59
Andhra Pradesh,169.18
Arunachal Pradesh,4.34
Assam,33.48
Bihar,30.55
Chandigarh,51.54
Chhattisgarh,56.26
Dadra and Nagar Haveli,2.97
Delhi,207.84
Goa,25.42
Gujarat,2492.11
Haryana,429.34
Himachal Pradesh,19.31
Jammu and Kashmir,22.6
Jharkhand,50.19
Karnataka,600.41
Kerala,471.69
Lakshadweep,0
Madhya Pradesh,270.32
Maharashtra,1488.76
Manipur,6.36
Meghalaya,0.21
Mizoram,1.68
Nagaland,1
Orissa,27.12
Puducherry,34.55
Punjab,264.19
Rajasthan,918.1
Sikkim,2.76
Tamil Nadu,408.18
Telangana,296.83
Tripura,4.78
Uttar Pradesh,265.1
Uttaranchal,262.71
West Bengal,65.58
