STATE,urban population
Andaman and Nicobar,37.7
Andhra Pradesh,29.74
Arunachal Pradesh,22.94
Assam,14.1
Bihar,11.29
Chandigarh,97.25
Chhattisgarh,23.34
Dadra and Nagar Haveli,58.34
Delhi,97.5
Goa,62.17
Gujarat,42.6
Haryana,34.88
Himachal Pradesh,10.33
Jammu and Kashmir,26.11
Jharkhand,24.05
Karnataka,38.67
Kerala,47.7
Lakshadweep,78.07
Madhya Pradesh,27.63
Maharashtra,45.22
Manipur,30.21
Meghalaya,20.07
Mizoram,52.11
Nagaland,28.86
Orissa,16.69
Puducherry,68.33
Punjab,37.48
Rajasthan,24.87
Sikkim,25.15
Tamil Nadu,48.4
Telangana,38.88
Tripura,26.17
Uttar Pradesh,22.27
Uttaranchal,30.23
West Bengal,31.87
